Include,ID,Lokalita,Lok,Ident,Top,Side,Prof,Orig,Cult,Dat,RM,Morph,OpSeq,SalVar,SalProfVys,SalProfTvar,SalTylBok,StUpev,Half,StPrac,Pouzitelnost,Len,Wid,Hei,Mas,Note
T,Kra0501,Kralice n. H.,Kra,1/05,T,T,T,Bur,LbK,IIa,JzH,Ad,FT,213,2,1,3,T,T,F,F,276,33,28,483.9,Šmíd2013
F,Kra0503,Kralice n. H.,Kra,3/05,F,F,F,Bur,LbK,,vulk,Ad,Wa,nes,nes,nes,nes,F,F,F,F,46,55,38,NA,Šmíd2013
T,Kra0504,Kralice n. H.,Kra,4/05,T,T,T,Bur,LbK,,JzH,Ad,FT,213,2,1,3,F,F,F,T,155,28.6,24,225.6,Šmíd2013
T,Kra0506,Kralice n. H.,Kra,6/05,T,T,T,Bur,LbK,IIb,JzH,Ad,FT,313,3,1,3,T,T,F,F,195,25,30.6,289.9,Šmíd2013
T,Kra0509,Kralice n. H.,Kra,9/05,T,T,T,Bur,LbK,IIa,JzH,Ad,FT,312,3,1,2,T,F,F,T,180,27.6,31.8,275.6,Šmíd2013
T,Kra0515,Kralice n. H.,Kra,15/05,F,F,T,Bur,LbK,Ib/IIa,JzH,Ad,Wa,213,2,1,3,T,F,F,F,87,30.5,25.6,125.3,Šmíd2013
T,Kra0520,Kralice n. H.,Kra,20/05,F,F,T,Bur,LbK,Ib,JzH,Ad,Wa,112,1,1,2,T,F,F,T,118,37.7,21,178.1,Šmíd2013
T,Kra0521,Kralice n. H.,Kra,21/05,F,F,T,Bur,LbK,,JzH,Ad,Wa,210,2,1,0,F,F,F,F,132,35,29.5,287.8,Šmíd2013
T,Kra0532,Kralice n. H.,Kra,32/05,F,F,T,Bur,LbK,IIb,JzH,Ad,FT,213,2,1,3,F,F,F,F,224,29.3,31.7,109.2,Šmíd2013
T,Kra0524,Kralice n. H.,Kra,24/05,T,T,T,Bur,LbK,,JzH,Ad,FT,212,2,1,2,T,F,F,T,211.7,36.6,31.7,271.1,Šmíd2013
F,Kra0527,Kralice n. H.,Kra,27/05,T,T,T,Bur,LbK,,JzH,Ax,Wa,121,1,2,1,F,F,F,T,116,60.6,30.3,271.1,Šmíd2013
T,Kra0537,Kralice n. H.,Kra,37/05,T,T,T,Bur,LbK,,JzH,We,FT,111,1,1,1,F,F,F,T,73.1,16.7,11,27.5,Šmíd2013
